sample,GPSC
9789_5#15.contigs_velvet.fa,5
14555_3#94.contigs_velvet.fa,1
13415_5#59.contigs_velvet.fa,1
6664_1#19.contigs_velvet.fa,1
17150_4#14.contigs_velvet.fa,1
21127_1#79.contigs_velvet.fa,1
6899_6#14.contigs_velvet.fa,1
19084_8#158.contigs_velvet.fa,1
6730_3#1.contigs_velvet.fa,1
17138_4#8.contigs_velvet.fa,1
12299_1#6.contigs_velvet.fa,1
6755_6#19.contigs_velvet.fa,1
6731_5#21.contigs_velvet.fa,1
22841_1#110.contigs_velvet.fa,1
13470_1#40.contigs_velvet.fa,1
6925_7#11.contigs_velvet.fa,1
12162_1#83.contigs_velvet.fa,1
12291_4#16.contigs_velvet.fa,1
6823_3#18.contigs_velvet.fa,1
6730_7#8.contigs_velvet.fa,1
14410_8#56.contigs_velvet.fa,1
12291_4#53.contigs_velvet.fa,1
17175_6#65.contigs_velvet.fa,1
19341_3#113.contigs_velvet.fa,1
6630_3#3.contigs_velvet.fa,1
15682_2#64.contigs_velvet.fa,1
19341_3#1.contigs_velvet.fa,1
14566_5#47.contigs_velvet.fa,1
6710_7#4.contigs_velvet.fa,1
21127_1#29.contigs_velvet.fa,1
11657_4#27.contigs_velvet.fa,1
11679_1#28.contigs_velvet.fa,1
12291_4#69.contigs_velvet.fa,1
17059_7#34.contigs_velvet.fa,1
14566_6#20.contigs_velvet.fa,1
24775_1#85.contigs_velvet.fa,1
6593_4#7.contigs_velvet.fa,1
6259_8#23.contigs_velvet.fa,1
11511_7#13.contigs_velvet.fa,1
7004_5#21.contigs_velvet.fa,1
7011_6#20.contigs_velvet.fa,1
6925_3#9.contigs_velvet.fa,1
6731_1#8.contigs_velvet.fa,1
6736_6#16.contigs_velvet.fa,1
13414_8#22.contigs_velvet.fa,1
6755_1#22.contigs_velvet.fa,1
22841_1#119.contigs_velvet.fa,1
17175_7#65.contigs_velvet.fa,1
6736_7#24.contigs_velvet.fa,1
15682_1#72.contigs_velvet.fa,1
6731_4#18.contigs_velvet.fa,1
6983_4#77.contigs_velvet.fa,1
21053_8#169.contigs_velvet.fa,1
6823_2#1.contigs_velvet.fa,1
11658_2#74.contigs_velvet.fa,1
16453_2#11.contigs_velvet.fa,1
6823_5#21.contigs_velvet.fa,1
13353_7#78.contigs_velvet.fa,1
11658_2#18.contigs_velvet.fa,1
6899_5#17.contigs_velvet.fa,1
19341_3#51.contigs_velvet.fa,1
7092_6#22.contigs_velvet.fa,1
6805_3#10.contigs_velvet.fa,1
6807_2#3.contigs_velvet.fa,1
6680_7#24.contigs_velvet.fa,1
7054_4#1.contigs_velvet.fa,1
13414_4#34.contigs_velvet.fa,1
18090_2#59.contigs_velvet.fa,1
20925_3#61.contigs_velvet.fa,1
6899_5#12.contigs_velvet.fa,1
13154_2#18.contigs_velvet.fa,1
12291_4#27.contigs_velvet.fa,1
12837_1#22.contigs_velvet.fa,1
6731_6#19.contigs_velvet.fa,1
12837_1#20.contigs_velvet.fa,1
14566_6#44.contigs_velvet.fa,1
6673_8#19.contigs_velvet.fa,1
21127_2#174.contigs_velvet.fa,1
19084_7#77.contigs_velvet.fa,1
6899_5#7.contigs_velvet.fa,1
14566_4#59.contigs_velvet.fa,1
6938_6#16.contigs_velvet.fa,1
19341_2#148.contigs_velvet.fa,1
12291_6#85.contigs_velvet.fa,1
6753_3#3.contigs_velvet.fa,1
14673_3#5.contigs_velvet.fa,1
19084_8#176.contigs_velvet.fa,1
7622_2#7.contigs_velvet.fa,1
6871_1#17.contigs_velvet.fa,1
19084_7#163.contigs_velvet.fa,1
18090_2#150.contigs_velvet.fa,1
6983_5#1.contigs_velvet.fa,1
15682_2#55.contigs_velvet.fa,1
6949_3#11.contigs_velvet.fa,1
17175_6#18.contigs_velvet.fa,1
12291_5#33.contigs_velvet.fa,1
6805_4#4.contigs_velvet.fa,1
6999_5#17.contigs_velvet.fa,1
6983_4#83.contigs_velvet.fa,1
6736_8#22.contigs_velvet.fa,1
14555_3#82.contigs_velvet.fa,1
20925_3#30.contigs_velvet.fa,1
6925_4#18.contigs_velvet.fa,1
6983_4#82.contigs_velvet.fa,1
6840_3#1.contigs_velvet.fa,1
12291_6#39.contigs_velvet.fa,1
6710_8#9.contigs_velvet.fa,1
6949_1#2.contigs_velvet.fa,1
12291_1#4.contigs_velvet.fa,1
6807_2#24.contigs_velvet.fa,1
12837_2#24.contigs_velvet.fa,1
13415_7#83.contigs_velvet.fa,1
21999_7#110.contigs_velvet.fa,1
15531_5#52.contigs_velvet.fa,1
18090_2#71.contigs_velvet.fa,1
15682_1#56.contigs_velvet.fa,1
6736_8#8.contigs_velvet.fa,1
7038_4#7.contigs_velvet.fa,1
12162_1#3.contigs_velvet.fa,1
15608_4#65.contigs_velvet.fa,1
6680_6#17.contigs_velvet.fa,1
11511_8#4.contigs_velvet.fa,1
14913_3#25.contigs_velvet.fa,1
19084_8#110.contigs_velvet.fa,1
13415_8#65.contigs_velvet.fa,1
7011_4#3.contigs_velvet.fa,1
14913_3#89.contigs_velvet.fa,1
15841_4#24.contigs_velvet.fa,1
14673_4#20.contigs_velvet.fa,1
6999_4#11.contigs_velvet.fa,1
19341_3#43.contigs_velvet.fa,1
13415_5#65.contigs_velvet.fa,1
15841_4#33.contigs_velvet.fa,1
15378_2#59.contigs_velvet.fa,1
22841_3#164.contigs_velvet.fa,1
21999_8#40.contigs_velvet.fa,1
15608_4#70.contigs_velvet.fa,1
14936_4#80.contigs_velvet.fa,1
6840_3#24.contigs_velvet.fa,1
13154_2#85.contigs_velvet.fa,1
6680_7#22.contigs_velvet.fa,1
17150_4#57.contigs_velvet.fa,1
14520_7#80.contigs_velvet.fa,1
14566_4#80.contigs_velvet.fa,1
7054_4#6.contigs_velvet.fa,1
14555_3#13.contigs_velvet.fa,1
7004_7#55.contigs_velvet.fa,1
6730_4#22.contigs_velvet.fa,1
6731_3#7.contigs_velvet.fa,1
6983_5#14.contigs_velvet.fa,1
