sample,GPSC
31958_2#241,1
5348_8#11,1
6925_7#11,1
14673_1#71,1
23204_4#100,1
12299_2#92,1
7054_5#18,1
7011_6#10,1
13091_1#44,1
5366_3#8,1
23430_3#161,1
5468_1#3,1
6840_1#22,1
10868_5#11,1
16399_8#61,1
12299_2#5,1
17794_6#45,1
17794_6#92,1
22114_6#48,1
6731_5#3,1
7054_4#17,1
14913_7#67,1
6259_1#17,1
17794_6#21,1
9803_8#47,1
17175_7#1,1
6731_2#10,1
23430_3#140,1
18814_2#25,1
14555_3#14,1
17794_5#80,1
7092_6#7,1
19647_1#39,1
13091_4#83,1
24977_8#66,1
27119_1#3,1
6972_5#15,1
12274_5#52,1
22335_7#107,1
23430_1#163,1
17138_5#78,1
12162_1#3,1
24775_1#70,1
12299_2#1,1
16404_7#30,1
24977_8#154,1
27119_1#42,1
32139_3#51,1
11861_3#33,1
6805_4#13,1
28042_2#359,1
12274_5#42,1
15608_4#70,1
19647_1#15,1
16453_3#12,1
6680_4#1,1
14520_8#20,1
15191_7#12,1
6259_1#2,1
14412_1#69,1
23430_3#112,1
24775_1#100,1
5366_3#1,1
11860_1#5,1
14723_6#65,1
19084_8#33,1
24820_2#42,1
12162_1#83,1
15191_5#26,1
12274_5#34,1
15531_7#7,1
27119_1#197,1
19647_1#37,1
11860_1#44,1
23430_1#143,1
19647_1#17,1
12291_6#76,1
19646_1#71,1
19647_1#45,1
24861_1#304,1
21999_7#173,1
6925_3#4,1
11860_1#21,1
23430_2#62,1
23430_3#164,1
23204_4#173,1
11826_3#90,1
6972_4#1,1
17794_6#34,1
21127_1#76,1
6899_5#17,1
14913_5#30,1
24775_1#40,1
7054_4#2,1
10754X91_140620_D00294_0106_AC4FB4ANXX_5,1
6983_8#80,1
17794_5#7,1
6925_5#1,1
6899_5#8,1
6925_3#21,1
24977_8#37,1
12274_5#9,1
15608_3#66,1
27119_1#168,1
6730_3#1,1
9221_3#40,1
17794_4#66,1
24977_8#40,1
17138_3#77,1
6925_3#11,1
12291_2#59,1
11511_8#37,1
13091_6#26,1
19647_1#54,1
17794_6#68,1
7004_5#1,1
8016_3#42,1
16404_7#21,1
7011_5#24,1
13091_2#46,1
10847X25_140926_D00294_0134_AC4P96ANXX_5,1
5381_1#12,1
6949_3#11,1
17794_4#14,1
20925_3#77,1
24977_8#180,1
28522_3#310,1
12299_2#88,1
28522_3#4,1
17794_6#1,1
24977_8#200,1
6775_1#3,1
19787_5#44,1
22335_7#10,1
6972_3#16,1
6823_5#10,1
18090_2#154,1
19647_1#58,1
29102_1#288,1
6753_3#1,1
15682_3#74,1
11826_3#33,1
5468_2#9,1
17150_6#62,1
24977_8#118,1
14937_1#37,1
5366_7#5,1
11511_8#96,1
22027_1#141,1
9803_8#4,1
7004_7#55,1
32139_2#257,1
11826_3#37,1
13091_4#56,1
15682_3#44,1
5381_3#9,1
6938_6#14,1
12299_1#48,1
20925_3#7,1
24977_8#150,1
6755_3#21,1
24977_8#41,1
19646_1#43,1
17794_5#1,1
6736_6#16,1
11860_1#63,1
11679_1#13,1
6972_2#20,1
18623_5#44,1
11679_1#74,1
12274_6#39,1
10868_6#14,1
22335_8#67,1
24977_8#138,1
28042_2#82,1
15873_3#18,1
15682_4#38,1
23430_4#19,1
24977_8#127,1
20402_4#53,1
19647_1#57,1
6753_4#7,1
28177_3#290,1
6775_2#14,1
27119_1#86,1
31919_2#326,1
